lake_name,obs_mo,ppt_obs,ppt_cdm_z,lake_lev_obs,lake_lev_pred,usgs_obs,swims_obs,airphoto_obs,bsts_lev_pred
Pleasant Lake,2013-09-01T05:00:00Z,48.220001220703125,0.7072468217586965,NA,298.73074002156557,NA,NA,NA,298.6630038304738
Long Lake,2013-10-01T05:00:00Z,62.2400016784668,0.5077322027944294,334.3349915,334.3424532074002,NA,NA,334.3349915,334.2692663132736
Plainfield Lake,2013-10-01T05:00:00Z,62.2400016784668,0.5077322027944294,334.6669922,334.5826345614704,NA,NA,334.6669922,334.6332373606834
Pleasant Lake,2013-10-01T05:00:00Z,55.22999954223633,0.6271484192818038,298.566986084,298.7126568797742,NA,NA,298.566986084,298.56597411037933
Long Lake,2013-11-01T05:00:00Z,80.3499984741211,0.562310665497005,NA,334.37222995889175,NA,NA,NA,334.0826023583255
Plainfield Lake,2013-11-01T05:00:00Z,80.3499984741211,0.562310665497005,NA,334.60364397668116,NA,NA,NA,334.62287593053713
Pleasant Lake,2013-11-01T05:00:00Z,84.089996337890625,0.6925460800250851,NA,298.7274211589043,NA,NA,NA,298.62134118620776
Long Lake,2013-12-01T06:00:00Z,34.790000915527344,0.3781565770050295,NA,334.27175973203583,NA,NA,NA,334.142763017506
Plainfield Lake,2013-12-01T06:00:00Z,34.790000915527344,0.3781565770050295,NA,334.53275576334016,NA,NA,NA,334.6688736913675
Pleasant Lake,2013-12-01T06:00:00Z,32.29999923706055,0.49330478910868775,NA,298.6824401305327,NA,NA,NA,298.6534820475216
Long Lake,2014-01-01T06:00:00Z,28.329999923706055,0.15817818056550986,NA,334.1517445883339,NA,NA,NA,333.92848319996915
Plainfield Lake,2014-01-01T06:00:00Z,28.329999923706055,0.15817818056550986,NA,334.44807735285843,NA,NA,NA,334.6325348449254
Pleasant Lake,2014-01-01T06:00:00Z,22.950000762939453,0.24468861828870914,NA,298.62631215132797,NA,NA,NA,298.6888094500157
Long Lake,2014-02-01T06:00:00Z,24.030000686645508,-0.0842950985850537,NA,334.0194567550186,NA,NA,NA,333.9186396265678
Plainfield Lake,2014-02-01T06:00:00Z,24.030000686645508,-0.0842950985850537,NA,334.3547397697363,NA,NA,NA,334.5461865286227
Pleasant Lake,2014-02-01T06:00:00Z,23.59000015258789,-2.964143261978519e-4,NA,298.5710039436167,NA,NA,NA,298.7019940215463
Long Lake,2014-03-01T06:00:00Z,34.540000915527344,-0.26924329150702797,NA,333.9185532830858,NA,NA,NA,333.7976264982729
Plainfield Lake,2014-03-01T06:00:00Z,34.540000915527344,-0.26924329150702797,NA,334.28354587410115,NA,NA,NA,334.4592299313017
Pleasant Lake,2014-03-01T06:00:00Z,32.630001068115234,-0.1965878793798202,NA,298.5266888725887,NA,NA,NA,298.7381144578237
Long Lake,2014-04-01T05:00:00Z,145.4499969482422,0.13152200202454875,NA,334.1372015916127,NA,NA,NA,334.04344784893715
Plainfield Lake,2014-04-01T05:00:00Z,145.4499969482422,0.13152200202454875,NA,334.4378163323905,NA,NA,NA,334.54983571863556
Pleasant Lake,2014-04-01T05:00:00Z,199.69000244140625,0.4630337975433314,NA,298.67560610368935,NA,NA,NA,298.7688192345135
Long Lake,2014-05-01T05:00:00Z,68.0199966430664,0.12313642132478142,NA,334.1326266120284,NA,NA,NA,333.8076125352904
Plainfield Lake,2014-05-01T05:00:00Z,68.0199966430664,0.12313642132478142,NA,334.4345883897556,NA,NA,NA,334.59736114612036
Pleasant Lake,2014-05-01T05:00:00Z,62.38999938964844,0.4142271112094094,NA,298.6645874291334,NA,NA,NA,298.792267066432
Long Lake,2014-06-01T05:00:00Z,140.02000427246094,0.49145705189652783,NA,334.3335738601307,NA,NA,NA,333.958895119204
Plainfield Lake,2014-06-01T05:00:00Z,140.02000427246094,0.49145705189652783,NA,334.5763696103175,NA,NA,NA,334.59795763317425
Pleasant Lake,2014-06-01T05:00:00Z,129.9199981689453,0.7138243340178498,NA,298.73222497111686,NA,NA,NA,298.7602504753041
Long Lake,2014-07-01T05:00:00Z,41.88999938964844,0.3389056398832951,333.6828,334.2503453252789,NA,333.6828,NA,333.6650859895895
Plainfield Lake,2014-07-01T05:00:00Z,41.88999938964844,0.3389056398832951,NA,334.51764652070915,NA,NA,NA,334.56021578493835
Pleasant Lake,2014-07-01T05:00:00Z,50.02000045776367,0.5994265454073554,298.761912,298.7063983457649,NA,298.761912,NA,298.73935340204764
Long Lake,2014-08-01T05:00:00Z,212.08999633789063,1.0822155371382396,NA,334.6558780756673,NA,NA,NA,333.98364092483206
Plainfield Lake,2014-08-01T05:00:00Z,212.08999633789063,1.0822155371382396,NA,334.8037759843912,NA,NA,NA,334.56152134299634
